id,type,subtype,Title,Image,color_hex,Description,Mutually exclusive with,exclusive_group,expected_rarity,interest_score,Notes,framing,shared_with,mirror_award,shared_role,score_rarity,score_phrasing,score_comprehension,score_fun,score_conversation_pull,score_shareability,score_admin_adjustment,score_overall,desirability_rank
1,Trait Results,trait-peak,Apex Sentinel,ach_scale,#AB9C2A,Highest Honesty-Humility in the group.,Apex Rogue,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,76,0,67.2,20
2,Trait Results,trait-peak,Apex Rogue,ach_mask,#2AAB9E,Lowest Honesty-Humility in the group.,Apex Sentinel,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,74.8,0,67,21
3,Trait Results,trait-peak,Apex Empath,ach_heart,#2AAB59,Highest Emotionality in the group.,Apex Anchor,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,73.6,0,66.8,22
4,Trait Results,trait-peak,Apex Anchor,ach_anchor,#2A48AB,Lowest Emotionality in the group.,Apex Empath,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,72.4,0,66.6,23
5,Trait Results,trait-peak,Apex Connector,ach_connector,#42AB2A,Highest Extraversion in the group.,Apex Observer,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,71.2,0,66.4,24
6,Trait Results,trait-peak,Apex Observer,ach_eye,#AB862A,Lowest Extraversion in the group.,Apex Connector,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,70,0,66.2,25
7,Trait Results,trait-peak,Apex Peacemaker,ach_peace,#AB892A,Highest Agreeableness in the group.,Apex Challenger,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,68.8,0,66.1,26
8,Trait Results,trait-peak,Apex Challenger,ach_megaphone,#AB2A9C,Lowest Agreeableness in the group.,Apex Peacemaker,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,67.6,0,65.9,27
9,Trait Results,trait-peak,Apex Planner,ach_calendar,#2AAB2A,Highest Conscientiousness in the group.,Apex Improviser,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,66.4,0,65.7,28
10,Trait Results,trait-peak,Apex Improviser,ach_dice,#2A84AB,Lowest Conscientiousness in the group.,Apex Planner,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,65.2,0,65.5,29
11,Trait Results,trait-peak,Apex Visionary,ach_telescope,#2AAB57,Highest Openness to Experience in the group.,Apex Realist,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,64,0,65.3,30
12,Trait Results,trait-peak,Apex Realist,ach_magnifying_glass,#2A59AB,Lowest Openness to Experience in the group.,Apex Visionary,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,62.8,0,65.2,31
13,Dark Traits,dark-peak,Apex Strategist,ach_knight,#2A39AB,Highest Machiavellianism in the group.,Apex Straight-Shooter,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,61.6,0,65,32
14,Dark Traits,dark-peak,Apex Straight-Shooter,ach_rook,#9EAB2A,Lowest Machiavellianism in the group.,Apex Strategist,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,60.4,0,64.8,33
15,Dark Traits,dark-peak,Apex Star,ach_star,#AB2A68,Highest Narcissism in the group.,Apex Stewart,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,59.2,0,64.6,34
16,Dark Traits,dark-peak,Apex Stewart,ach_tree,#2A95AB,Lowest Narcissism in the group.,Apex Star,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,58,0,64.5,35
17,Dark Traits,dark-peak,Apex Risk-Taker,ach_fire,#2AAB6D,Highest Psychopathy in the group.,Apex Regulator,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,56.8,0,64.3,36
18,Dark Traits,dark-peak,Apex Regulator,ach_water,#2AAB2C,Lowest Psychopathy in the group.,Apex Risk-Taker,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,55.6,0,64.1,37
19,Dark Traits,dark-peak,Apex Provocateur,ach_sword,#2A55AB,Highest Sadism in the group.,Apex Guardian,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,54.4,0,63.9,38
20,Dark Traits,dark-peak,Apex Guardian,ach_shield,#2A2CAB,Lowest Sadism in the group.,Apex Provocateur,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,53.2,0,63.7,39
21,Trait Results,trait-balance,Full Send,ach_full_send,#2A3EAB,"All-in extremes, {person_name} strayed farthest from the midpoint overall.","Default Settings, Middle Child, Remarkably Unremarkable",trait-balance,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,50.8,0,63.4,40
22,Trait Results,trait-balance,Default Settings,ach_profile,#AB2A9E,"Prefering moderation, {person_name} has no trait above 75% or below 25%.","Extreme Ends, Full Send",trait-balance,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,90,65,65,80.8,0,68.9,16
24,Trait Results,trait-spike,The Specialist,ach_wrench,#2A4DAB," {person_name} went all-in on one stat, with a solitary trait reaching the 10% extreme.",,trait-pattern,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,49.6,0,63.2,41
25,Trait Results,trait-contrast,Paradox Engine,ach_gears,#A42AAB,"Sending mixed signals, {person_name} had high and low scores within the same trait.",,trait-pattern,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,80,65,65,48.4,0,63,42
26,Dark Traits,dark-composite,The Devil You Know,ach_horns,#A7AB2A,"Dark side MVP, {person_name} scored highest overall in dark traits.",,dark-peak,Very Rare,Interesting,,Negative,FALSE,FALSE,,85,50,60,65,65,82,0,69.8,15
27,Similarity,similarity-average,Black Sheep,ach_sheep,#9CAB2A,"Outlier energy, {person_name} was least similar to everyone on average.","Nucleus, Ugly Duckling",similarity-average,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,80,65,85,89.2,0,71.1,9
28,Similarity,similarity-average,Ugly Duckling,ach_duck,#AB2A98,"Perhaps adopted, {person_name}'s average similarity was closest to zero.",Black Sheep,similarity-average,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,80,65,85,88,0,71,10
29,Similarity,similarity-average,Nucleus,ach_nucleus,#AB6B2A,"Group glue, {person_name} was most similar to everyone on average.",Black Sheep,similarity-average,Very Rare,Interesting,,Positive,FALSE,FALSE,,85,50,80,65,85,95,0,75.8,4
30,Similarity,similarity-top-match-count,Enigma,ach_maze,#2AAB66,"Unique build, {person_name} was no one's #1 match.","Attack of the clones, Triplets!, Twins!",similarity-top-match-count,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,70,65,85,79.6,0,68.7,17
31,Similarity,similarity-top-match-count,Twins!,ach_twins,#2F2AAB,This member was #1 for one person.,"Attack of the clones, Enigma, Triplets!",similarity-top-match-count,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,85,50,0,61.2,48
32,Similarity,similarity-top-match-count,Attack of the clones,ach_sheeps,#532AAB,"Quad match, {person_name} was #1 for three people.","Enigma, Triplets!, Twins!",similarity-top-match-count,Very Rare,Interesting,,Positive,FALSE,FALSE,,85,50,80,65,85,94,0,75.6,5
33,Similarity,similarity-top-match-count,Triplets!,ach_triplets,#642AAB,"Triple match, {person_name} was #1 for two people.","Attack of the clones, Enigma, Twins!",similarity-top-match-count,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,85,86.8,0,70.8,11
34,Similarity,similarity-pair,Besties,ach_friendship_bracelet,#AB2A31,{person_name} and {shared_person_name} are each other's #1 match.," Soulmate, Third Wheel",similarity-pair,Rare,Interesting,,Positive,TRUE,TRUE,pair,70,50,90,65,85,90.4,0,72.3,8
35,Similarity,similarity-pair,Nemesis,ach_conflict,#AB2AAB,Opposites attract! {person_name} and {shared_person_name} were the least-similar pair.,,similarity-pair,Very Rare,Interesting,,Negative,TRUE,TRUE,pair,85,50,90,65,85,95,0,76.8,1
36,Similarity,similarity-pair,Soulmate,ach_soulmates,#2AAB7A,{person_name} and {shared_person_name} were the most-similar pair.,"Besties, Nemesis, Third Wheel",similarity-pair,Very Rare,Interesting,,Positive,TRUE,TRUE,pair,85,50,90,65,85,95,0,76.8,2
37,Similarity,similarity-inbound,Connector,ach_node,#62AB2A,"Social hub, {person_name} had the most inbound #1 matches.",,similarity-inbound,Very Rare,Interesting,,Positive,FALSE,FALSE,,85,50,90,65,85,95,0,76.8,3
38,Similarity,similarity-triangle,Third Wheel,ach_wheel,#2AAB84,"Your closest match, {shared_person_name}, is even closer to someone else.","Besties, Soulmate",similarity-triangle,Uncommon,Interesting,,Negative,TRUE,FALSE,pair,50,50,80,65,85,36.4,0,58.2,55
39,Voting Results,vote-total,Vote-Magnet,ach_magnet,#AB2A53,"Crowd favorite, {person_name} received the most votes.",,vote-total,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,90,65,75,85.6,0,70.6,12
40,Voting Results,vote-podium,Always the bridesmaid,ach_bouquet,#86AB2A,"Runner-up champ, {person_name} had the most 2nd-place votes.",,vote-podium,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,70,65,75,47.2,0,62.8,43
41,Voting Results,vote-podium,Bronze is the New Gold,ach_third,#AB2A71,"Third-place hero, {person_name} had the most 3rd-place votes.",,vote-podium,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,50,65,75,37.6,0,59.4,54
42,Voting Results,vote-podium,Photo Finish,ach_camera,#33AB2A,"Split the top spot, {person_name} tied for 1st place.",,vote-podium,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,60,65,75,42.4,0,61.1,49
43,Voting Results,vote-podium,I win,arc_ribbon,#2A8DAB,"Better than the rest, {person_name} won a first-place vote.",,vote-podium,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,80,65,75,29.2,0,56.1,61
44,Voting Results,vote-podium,Mr. Popular,ach_laurel_wreath,#AB2AA2,"Top pick, {person_name} received the most 1st-place votes.",,vote-podium,Rare,Interesting,,Positive,FALSE,FALSE,,70,70,80,65,75,91.6,0,73.5,7
45,Voting Results,vote-alignment,Contrarian,ach_finger_up,#2AAB4A,"Off the beat, {person_name} voted for winners least often.",,vote-alignment,Uncommon,Interesting,,Negative,FALSE,FALSE,,50,50,90,65,75,35.2,0,58,56
46,Voting Results,vote-alignment,Kingmaker,ach_crown,#57AB2A,"Winner picker, {person_name} voted for winners most often.",,vote-alignment,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,75,34,0,57.9,57
47,Voting Results,vote-accuracy,Bullseye,ach_crosshairs,#44AB2A,"Dead-on reads, {person_name} guessed most X most accurately.",,vote-accuracy,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,90,65,75,84.4,0,70.4,13
48,Voting Results,vote-accuracy,Stormtrooper,ach_blaster,#2A4AAB,"Shots missed, {person_name} guessed most X least accurately.",,vote-accuracy,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,90,65,75,83.2,0,70.2,14
49,Voting Results,vote-coverage,Plot Armor,ach_helmet,#2AAB3B,"Wide support, {person_name} received votes from the most unique people.",,vote-coverage,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,75,78.4,0,68.5,18
50,Voting Results,vote-coverage,"You get a car, and you get a car!",ach_car,#2A31AB,"Oprah mode, {person_name} voted for everyone at least once.",,vote-coverage,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,60,65,75,26.8,0,53.8,63
51,Voting Results,vote-relationship,Double Jinx,ach_double_crossed_fingers,#AB2A48,{person_name} is part of a three-way voting triangle with {shared_person_name}.,Jinx,vote-relationship,Rare,Interesting,,Negative,TRUE,TRUE,group,70,50,80,65,75,77.2,0,68.3,19
52,Voting Results,vote-relationship,Jinx,ach_crossed_fingers,#AB2A75,{person_name} and {shared_person_name} each voted for each other.,Double Jinx,vote-relationship,Uncommon,Interesting,,Negative,TRUE,TRUE,pair,50,50,90,65,75,32.8,0,57.7,58
53,Voting Results,vote-relationship,Ride-or-Die,ach_bike,#392AAB,"{person_name}'s loyalty is unquestionable, casting 6+ votes for {shared_person_name}.",,vote-relationship,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,75,31.6,0,57.5,59
54,Survey Completion,completion-order,Caboose,ach_train,#4AAB2A,"Last across the line, {person_name} submitted after everyone else.",First!,completion-order,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,90,65,55,46,0,62.6,44
55,Survey Completion,completion-order,First!,ach_first,#2AAB51,"First out the gate, {person_name} submitted before anyone else.",Caboose,completion-order,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,90,65,55,44.8,0,62.5,45
56,Survey Completion,completion-duration,Speedrunner,ach_run,#2AABA2,"Fastest finish, {person_name} had the shortest completion time.",The Thinker,completion-duration,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,90,65,55,43.6,0,62.3,46
57,Survey Completion,completion-duration,The Thinker,ach_brain,#AB2A55,"Took their time, {person_name} had the longest completion time.",Speedrunner,completion-duration,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,55,41.2,0,60.9,50
58,Survey Completion,completion-window,Keener,ach_glasses,#2C2AAB,"Early bird energy, {person_name} finished within the first 24 hours.",Last-Minute Larry,completion-window,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,55,28,0,55,62
59,Survey Completion,completion-window,Last-Minute Larry,ach_stopwatch,#2AAB9C,"Down to the wire, {person_name} finished in the final 24 hours.",Keener,completion-window,Uncommon,Interesting,,Negative,FALSE,FALSE,,50,50,80,65,55,25.6,0,53.6,64
60,Survey Completion,completion-time-of-day,Lunch Break,ach_sandwich,#372AAB,"Midday submit, {person_name} finished between 11am and 1pm.",,completion-time,Common,Interesting,,Positive,FALSE,FALSE,,30,50,80,65,55,20.8,0,47.9,69
61,Survey Completion,completion-time-of-day,Prime Time,ach_tv,#6BAB2A,"9-to-5 energy, {person_name} submitted during working hours.",,completion-time,Common,Interesting,,Positive,FALSE,FALSE,,30,50,80,65,55,20,0,47.8,70
62,Survey Completion,completion-day,Weekend Warrior,ach_sunrise,#AB2A6D,"Weekend win, {person_name} submitted on a Saturday or Sunday.",,completion-time,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,80,65,55,24.4,0,53.4,66
63,Backup,backup-neutral,Middle Child,ach_middle,#2A82AB,"Steady middle, {person_name} was never highest or lowest on any trait.","Extreme Ends, Full Send",backup,Common,Interesting,,Negative,FALSE,FALSE,,30,50,80,65,35,20,0,45.8,72
64,Backup,backup-participation,Mystery Gift,ach_present,#622AAB,"Secret badge, {person_name} completed the survey. How? A mystery.",Participation Trophy,backup,Common,Interesting,,Positive,FALSE,FALSE,,30,50,80,65,35,20,0,45.8,73
65,Backup,backup-participation,Participation Trophy,ach_trophy,#2AAB6B,"Showed up, medal earned. Don't let it go to your head.",Mystery Gift,backup,Common,Interesting,,Negative,FALSE,FALSE,,30,50,80,65,35,20,0,45.8,74
66,Trait Results,trait-combo,The Double Agent,ach_spy,#2A35AB,High Honestyâ€“Humility and high Machiavellianism in the group.,,trait-combo,Very Rare,Very Interesting,,Positive,FALSE,FALSE,,85,50,70,75,65,92.8,0,74.9,6
67,Survey Completion,profile-aggregate,Low Profile,ach_sunglasses,#682AAB,"Low-key total, {person_name}'s trait sum fell below the 40th percentile.",,profile-aggregate,Rare,Interesting,,Negative,FALSE,FALSE,,70,50,80,65,55,40,0,60.8,51
68,Voting Results,vote-coverage,Inclusive,ach_give_love,#AB6D2A, {person_name} is a thoughtful person who voted for someone no one else did.,,vote-coverage,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,75,30.4,0,57.3,60
69,Survey Completion,completion-time-of-day,Early Bird,ach_alarm_clock,#2AAB42,"Up with the sun, {person_name} submitted between 4am and 8am.",Night Owl,completion-time,Uncommon,Mildly Interesting,,Positive,FALSE,FALSE,,50,50,80,50,55,23.2,0,49.5,67
70,Survey Completion,completion-time-of-day,Night Owl,ach_owl,#2AAB71,"Late-night submit, {person_name} finished between 11pm and 4am.",Early Bird,completion-time,Uncommon,Mildly Interesting,,Positive,FALSE,FALSE,,50,50,80,50,55,22,0,49.3,68
71,Survey Completion,response-style,Threes all the way down,ach_3,#AB2A39,"Remarkably centrist, {person_name} answered 3 almost every time.",,response-style,Uncommon,Mildly Interesting,,Positive,FALSE,FALSE,,50,50,50,50,55,20,0,46,71
72,Voting Results,vote-podium,Consolation Prize,ach_podium,#2A9CAB,"Just missed the podium, {person_name} placed fourth more than anyone else.",,vote-podium,Common,Uninteresting,,Negative,FALSE,FALSE,,30,50,70,35,75,20,0,41.2,75
73,Backup,backup-neutral,Remarkably Unremarkable,ach_dot,#9A2AAB,"Perfectly average, {person_name} never led or lagged.","Extreme Ends, Full Send",backup,Common,Uninteresting,,Negative,FALSE,FALSE,,30,50,80,35,35,20,0,38.2,76
74,Voting Results,vote-coverage,Completionist,ach_clipboard_2,#AB2A3E,"Come in 1st, 2nd, & 3rd place in votes at least once.",,vote-coverage,Uncommon,Interesting,,Positive,FALSE,FALSE,,50,50,90,65,75,50,0,60.2,52
75,Survey Completion,response-style,Extreme Ends,ach_give_present,#AB2A6A,"Never moderate, {person_name} was most likely to answer questions with a 1 or 7.","Default Settings, Middle Child, Remarkably Unremarkable",response-style,Uncommon,Mildly Interesting,,Positive,FALSE,FALSE,,50,50,80,50,55,50,0,53.5,65